"idea","outcome","score","type","user.submitted"
"Household size","grit",40,"experts",FALSE
"Parents are in cohabiting partnership","grit",33.3333,"experts",TRUE
"Mother's prenatal smoking","grit",33.3333,"experts",TRUE
"Mother's age at childbirth","grit",33.3333,"experts",TRUE
"Foreign-born father","grit",33.3333,"experts",TRUE
"Father's age at childbirth","grit",33.3333,"experts",TRUE
"Divorce or separation","grit",28.5714,"experts",FALSE
"Mother's non-standard work hours","grit",25,"experts",TRUE
"Father's non-standard work hours","grit",25,"experts",TRUE
"Child's birth weight","grit",25,"experts",TRUE
"Mother's multiple-job holding","grit",20,"experts",TRUE
"Foreign-born mother","grit",16.6667,"experts",TRUE
"School quality","job_training",50,"experts",TRUE
"Parents are in cohabiting partnership","job_training",50,"experts",TRUE
"Number of parental romantic relationships","job_training",50,"experts",TRUE
"Never-married mother","job_training",50,"experts",TRUE
"Mother's prenatal smoking","job_training",50,"experts",TRUE
"Mother's non-standard work hours","job_training",50,"experts",TRUE
"Mother's multiple-job holding","job_training",50,"experts",TRUE
"Mother's incarceration","job_training",50,"experts",TRUE
"Mother's age at childbirth","job_training",50,"experts",TRUE
"Foreign-born mother","job_training",50,"experts",TRUE
"Foreign-born father","job_training",50,"experts",TRUE
"Father's non-standard work hours","job_training",50,"experts",TRUE
"Father's multiple-job holding","job_training",50,"experts",TRUE
"Father's incarceration","job_training",50,"experts",TRUE
"Father's age at childbirth","job_training",50,"experts",TRUE
"Father absent at time of birth","job_training",50,"experts",TRUE
"Existing number of siblings","job_training",50,"experts",TRUE
"Child's birth weight","job_training",50,"experts",TRUE
"Child's race","job_training",50,"experts",FALSE
"Divorce or separation","job_training",50,"experts",FALSE
"Household size","job_training",50,"experts",FALSE
"Father's education","job_training",50,"experts",FALSE
"Mother's education","job_training",50,"experts",FALSE
"Household income","job_training",50,"experts",FALSE
"Child's gender","job_training",50,"experts",FALSE
"Income to poverty ratio","job_training",50,"experts",FALSE
"School quality","layoff",50,"experts",TRUE
"Parents are in cohabiting partnership","layoff",50,"experts",TRUE
"Number of parental romantic relationships","layoff",50,"experts",TRUE
"Never-married mother","layoff",50,"experts",TRUE
"Mother's prenatal smoking","layoff",50,"experts",TRUE
"Mother's non-standard work hours","layoff",50,"experts",TRUE
"Mother's multiple-job holding","layoff",50,"experts",TRUE
"Mother's incarceration","layoff",50,"experts",TRUE
"Mother's age at childbirth","layoff",50,"experts",TRUE
"Foreign-born mother","layoff",50,"experts",TRUE
"Foreign-born father","layoff",50,"experts",TRUE
"Father's non-standard work hours","layoff",50,"experts",TRUE
"Father's multiple-job holding","layoff",50,"experts",TRUE
"Father's incarceration","layoff",50,"experts",TRUE
"Father's age at childbirth","layoff",50,"experts",TRUE
"Father absent at time of birth","layoff",50,"experts",TRUE
"Existing number of siblings","layoff",50,"experts",TRUE
"Child's birth weight","layoff",50,"experts",TRUE
"Child's race","layoff",50,"experts",FALSE
"Divorce or separation","layoff",50,"experts",FALSE
"Household size","layoff",50,"experts",FALSE
"Father's education","layoff",50,"experts",FALSE
"Mother's education","layoff",50,"experts",FALSE
"Household income","layoff",50,"experts",FALSE
"Child's gender","layoff",50,"experts",FALSE
"Income to poverty ratio","layoff",50,"experts",FALSE
"Father's incarceration","material_hardship",94.4444,"experts",TRUE
"Income to poverty ratio","material_hardship",88,"experts",FALSE
"Mother's incarceration","material_hardship",86.0465,"experts",TRUE
"Household income","material_hardship",79.5455,"experts",FALSE
"Divorce or separation","material_hardship",74.4186,"experts",FALSE
"Mother's education","material_hardship",68.5185,"experts",FALSE
"Mother's non-standard work hours","material_hardship",60.4651,"experts",TRUE
"Never-married mother","material_hardship",60.4167,"experts",TRUE
"Child's race","material_hardship",59.0909,"experts",FALSE
"Father absent at time of birth","material_hardship",56.7568,"experts",TRUE
"Father's education","material_hardship",55.3191,"experts",FALSE
"Mother's age at childbirth","material_hardship",52.381,"experts",TRUE
"Father's non-standard work hours","material_hardship",52,"experts",TRUE
"Mother's prenatal smoking","material_hardship",43.1818,"experts",TRUE
"Father's multiple-job holding","material_hardship",42.3077,"experts",TRUE
"Mother's multiple-job holding","material_hardship",39.5349,"experts",TRUE
"School quality","material_hardship",35.2941,"experts",TRUE
"Parents are in cohabiting partnership","material_hardship",35,"experts",TRUE
"Parent's mental health","material_hardship",33.3333,"experts",TRUE
"Domestic abuse in family","material_hardship",33.3333,"experts",TRUE
"Grandparents in the household","material_hardship",33.3333,"experts",TRUE
"Number of parental romantic relationships","material_hardship",33.3333,"experts",TRUE
"Household size","material_hardship",29.7297,"experts",FALSE
"Father's age at childbirth","material_hardship",29.0323,"experts",TRUE
"Childcare center enrollment","material_hardship",25,"experts",TRUE
"Existing number of siblings","material_hardship",24.3902,"experts",TRUE
"Foreign-born mother","material_hardship",23.6842,"experts",TRUE
"Child's birth weight","material_hardship",22.8571,"experts",TRUE
"Foreign-born father","material_hardship",19.5122,"experts",TRUE
"Child's gender","material_hardship",2.77778,"experts",FALSE
"Father's incarceration","eviction",79.6364,"mturks",FALSE
"Mother's incarceration","eviction",78.022,"mturks",FALSE
"Parents' substance abuse","eviction",75.7353,"mturks",TRUE
"Divorce or separation","eviction",73.3788,"mturks",FALSE
"Income to poverty ratio","eviction",71.2281,"mturks",FALSE
"Household income","eviction",67.7903,"mturks",FALSE
"Mother has chronic illness","eviction",62.5,"mturks",TRUE
"Father absent at time of birth","eviction",60.7914,"mturks",FALSE
"Number of times father has missed work","eviction",58.0357,"mturks",TRUE
"Father's non-standard work hours","eviction",56.2069,"mturks",FALSE
"Mother's age at childbirth","eviction",51.25,"mturks",FALSE
"Mother's non-standard work hours","eviction",51.145,"mturks",FALSE
"Number of parental romantic relationships","eviction",50.8834,"mturks",FALSE
"Mother's multiple-job holding","eviction",50.3571,"mturks",FALSE
"Household size","eviction",48.6755,"mturks",FALSE
"Mother's prenatal smoking","eviction",47.651,"mturks",FALSE
"Never-married mother","eviction",47.2973,"mturks",FALSE
"Father's education","eviction",47.0383,"mturks",FALSE
"School quality","eviction",46.6667,"mturks",FALSE
"Existing number of siblings","eviction",46.5649,"mturks",FALSE
"Father's multiple-job holding","eviction",45.1505,"mturks",FALSE
"Child's exposure to someone smoking","eviction",42.8571,"mturks",TRUE
"Father's age at childbirth","eviction",42.2481,"mturks",FALSE
"Mother's education","eviction",39.7306,"mturks",FALSE
"Parents are in cohabiting partnership","eviction",35.2349,"mturks",FALSE
"Foreign-born mother","eviction",31.8182,"mturks",FALSE
"Child's race","eviction",29.8305,"mturks",FALSE
"Foreign-born father","eviction",27.881,"mturks",FALSE
"Grandparents are present in household","eviction",26.6667,"mturks",TRUE
"Child's gender","eviction",16.6667,"mturks",FALSE
"Child's physical disability","eviction",14.2857,"mturks",TRUE
"Child's learning disability","eviction",8.33333,"mturks",TRUE
"Mother's substance abuse","gpa",76,"mturks",TRUE
"Number of books at home","gpa",75.6757,"mturks",TRUE
"Teacher quality","gpa",70.9581,"mturks",FALSE
"Income to poverty ratio","gpa",70.1705,"mturks",FALSE
"Child's IQ","gpa",69.7674,"mturks",TRUE
"Child's perseverance","gpa",67.7419,"mturks",TRUE
"School quality","gpa",66.6667,"mturks",FALSE
"Amount of parental involvement in school","gpa",66.1538,"mturks",TRUE
"Mother's education","gpa",63.5514,"mturks",FALSE
"Private school","gpa",62.8289,"mturks",TRUE
"Mother's incarceration","gpa",61.5142,"mturks",FALSE
"Availability of extended family","gpa",61.3636,"mturks",TRUE
"Father's incarceration","gpa",60.423,"mturks",FALSE
"Father's education","gpa",59.9388,"mturks",FALSE
"Divorce or separation","gpa",57.6687,"mturks",FALSE
"Household income","gpa",56.5476,"mturks",FALSE
"Father's substance abuse","gpa",55.5556,"mturks",TRUE
"Family on welfare","gpa",51.4286,"mturks",TRUE
"Mother's multiple-job holding","gpa",50.9537,"mturks",FALSE
"Mother's non-standard work hours","gpa",49.5822,"mturks",FALSE
"Father's non-standard work hours","gpa",48.2249,"mturks",FALSE
"Parents are in cohabiting partnership","gpa",47.4934,"mturks",FALSE
"Household size","gpa",46.7647,"mturks",FALSE
"Homeschooling","gpa",45,"mturks",TRUE
"Existing number of siblings","gpa",44.2455,"mturks",FALSE
"Mother's prenatal smoking","gpa",43.5331,"mturks",FALSE
"Mother's employment","gpa",42.8571,"mturks",TRUE
"Father absent at time of birth","gpa",42.3529,"mturks",FALSE
"Father's multiple-job holding","gpa",42.2857,"mturks",FALSE
"Number of parental romantic relationships","gpa",42.1622,"mturks",FALSE
"Mother's age at childbirth","gpa",41.5473,"mturks",FALSE
"Parent's religion","gpa",40,"mturks",TRUE
"Foreign-born mother","gpa",38.2445,"mturks",FALSE
"Never-married mother","gpa",37.2168,"mturks",FALSE
"Child's race","gpa",36.2117,"mturks",FALSE
"Child's gender","gpa",33.5593,"mturks",FALSE
"Foreign-born father","gpa",33.0484,"mturks",FALSE
"Father's age at childbirth","gpa",30.6748,"mturks",FALSE
"Child's birth weight","gpa",30.4762,"mturks",FALSE
"Income to poverty ratio","grit",69.5783,"mturks",FALSE
"Mother's mental health","grit",69.4444,"mturks",TRUE
"Child's participation in sports","grit",68.2927,"mturks",TRUE
"Teacher says child works independently","grit",67.6301,"mturks",TRUE
"Mother's incarceration","grit",64.0288,"mturks",FALSE
"Divorce or separation","grit",63.5739,"mturks",FALSE
"Child's participation in chores","grit",62.7451,"mturks",TRUE
"Mother's multiple-job holding","grit",62.2951,"mturks",FALSE
"Father's incarceration","grit",56.3934,"mturks",FALSE
"School quality","grit",56.3798,"mturks",FALSE
"Household income","grit",55.9727,"mturks",FALSE
"Father's unemployment","grit",55.6962,"mturks",TRUE
"Mother's non-standard work hours","grit",55.2381,"mturks",FALSE
"Existing number of siblings","grit",54.9689,"mturks",FALSE
"Child makes friends easily","grit",53.5714,"mturks",TRUE
"Father's multiple-job holding","grit",53.1561,"mturks",FALSE
"Early childhood health","grit",52.1127,"mturks",TRUE
"Father absent at time of birth","grit",50.6993,"mturks",FALSE
"Household size","grit",50.1767,"mturks",FALSE
"Never-married mother","grit",48.2877,"mturks",FALSE
"Father's non-standard work hours","grit",47.1154,"mturks",FALSE
"Parents are in cohabiting partnership","grit",47.099,"mturks",FALSE
"Teacher quality","grit",46.2094,"mturks",FALSE
"Mother's education","grit",44.0972,"mturks",FALSE
"Mother's age at childbirth","grit",43.2343,"mturks",FALSE
"Child's race","grit",42.4138,"mturks",FALSE
"Foreign-born mother","grit",41.5842,"mturks",FALSE
"Number of parental romantic relationships","grit",41.0526,"mturks",FALSE
"Father's education","grit",41.0448,"mturks",FALSE
"Child's gender","grit",39.2361,"mturks",FALSE
"Father's age at childbirth","grit",38.0282,"mturks",FALSE
"Families on block known well","grit",35.7143,"mturks",TRUE
"Foreign-born father","grit",35.1171,"mturks",FALSE
"Mother's prenatal smoking","grit",34.4086,"mturks",FALSE
"Child's birth weight","grit",30.8725,"mturks",FALSE
"Number of child's emergency room visits","grit",28.5714,"mturks",TRUE
"Mother's education","job_training",78.5933,"mturks",FALSE
"Father's education","job_training",75.4658,"mturks",FALSE
"Household income","job_training",67.6282,"mturks",FALSE
"Teacher quality","job_training",65.4206,"mturks",FALSE
"School quality","job_training",62.5397,"mturks",FALSE
"Income to poverty ratio","job_training",61.7647,"mturks",FALSE
"Father's multiple-job holding","job_training",61.0169,"mturks",FALSE
"Mother's multiple-job holding","job_training",60.0583,"mturks",FALSE
"Mother's non-standard work hours","job_training",57.947,"mturks",FALSE
"Household size","job_training",56.962,"mturks",FALSE
"Father's incarceration","job_training",56.1462,"mturks",FALSE
"Mother's age at childbirth","job_training",55.4487,"mturks",FALSE
"Mother's incarceration","job_training",55.3398,"mturks",FALSE
"Father's sense of familial responsibility","job_training",53.8462,"mturks",TRUE
"Multi-generational household","job_training",53.5714,"mturks",TRUE
"Father's non-standard work hours","job_training",51.2658,"mturks",FALSE
"Father's age at childbirth","job_training",50.4854,"mturks",FALSE
"Father absent at time of birth","job_training",49.1803,"mturks",FALSE
"Parents are in cohabiting partnership","job_training",46.2462,"mturks",FALSE
"Existing number of siblings","job_training",45.2532,"mturks",FALSE
"Divorce or separation","job_training",42.042,"mturks",FALSE
"Never-married mother","job_training",38.3513,"mturks",FALSE
"Number of parental romantic relationships","job_training",35.6913,"mturks",FALSE
"Mother's prenatal smoking","job_training",35.1724,"mturks",FALSE
"Father's interest in sports or entertainment","job_training",34.0136,"mturks",TRUE
"Child's race","job_training",33.3333,"mturks",FALSE
"Foreign-born father","job_training",32.6861,"mturks",FALSE
"Foreign-born mother","job_training",30.2083,"mturks",FALSE
"Child's gender","job_training",23.6066,"mturks",FALSE
"Child's birth weight","job_training",22.5309,"mturks",FALSE
"Father's incarceration","layoff",79.1519,"mturks",FALSE
"Parent's chronic illness","layoff",74.2616,"mturks",TRUE
"Mother's incarceration","layoff",70.3072,"mturks",FALSE
"Father's non-standard work hours","layoff",64.4231,"mturks",FALSE
"Mother's multiple-job holding","layoff",63.8298,"mturks",FALSE
"Income to poverty ratio","layoff",62.5926,"mturks",FALSE
"Father's multiple-job holding","layoff",61.2245,"mturks",FALSE
"Household income","layoff",59.8592,"mturks",FALSE
"Mother's education","layoff",58.885,"mturks",FALSE
"Mother's non-standard work hours","layoff",58.6081,"mturks",FALSE
"Father's education","layoff",57.1906,"mturks",FALSE
"Father absent at time of birth","layoff",56.3636,"mturks",FALSE
"Divorce or separation","layoff",55.8621,"mturks",FALSE
"School quality","layoff",48.5401,"mturks",FALSE
"Household size","layoff",46.1059,"mturks",FALSE
"Foreign-born father","layoff",45.8064,"mturks",FALSE
"Mother's prenatal smoking","layoff",44.6215,"mturks",FALSE
"Parents are in cohabiting partnership","layoff",42.5087,"mturks",FALSE
"Number of parental romantic relationships","layoff",42.3868,"mturks",FALSE
"Foreign-born mother","layoff",40.7143,"mturks",FALSE
"Mother's age at childbirth","layoff",39.8026,"mturks",FALSE
"Existing number of siblings","layoff",37.6426,"mturks",FALSE
"Child's health","layoff",36.4865,"mturks",TRUE
"Never-married mother","layoff",35.082,"mturks",FALSE
"Father's age at childbirth","layoff",34.1463,"mturks",FALSE
"Child's gender","layoff",25.1799,"mturks",FALSE
"Child's race","layoff",24.9071,"mturks",FALSE
"Child's birth weight","layoff",22.963,"mturks",FALSE
"Father's incarceration","material_hardship",77.0171,"mturks",FALSE
"Mother's incarceration","material_hardship",75.853,"mturks",FALSE
"Income to poverty ratio","material_hardship",71.9626,"mturks",FALSE
"Household income","material_hardship",66.8407,"mturks",FALSE
"Divorce or separation","material_hardship",60.7539,"mturks",FALSE
"Father's education","material_hardship",56.6745,"mturks",FALSE
"School quality","material_hardship",56.4039,"mturks",FALSE
"Mother's education","material_hardship",55.6054,"mturks",FALSE
"Mother's multiple-job holding","material_hardship",54.0342,"mturks",FALSE
"Father absent at time of birth","material_hardship",53.2982,"mturks",FALSE
"Household size","material_hardship",53.23,"mturks",FALSE
"Mother's age at childbirth","material_hardship",51.7677,"mturks",FALSE
"Father's multiple-job holding","material_hardship",51.5707,"mturks",FALSE
"Existing number of siblings","material_hardship",48.4561,"mturks",FALSE
"Father's non-standard work hours","material_hardship",47.3945,"mturks",FALSE
"Mother's non-standard work hours","material_hardship",46.7822,"mturks",FALSE
"Never-married mother","material_hardship",46.2963,"mturks",FALSE
"Number of parental romantic relationships","material_hardship",43.5115,"mturks",FALSE
"Father's age at childbirth","material_hardship",43.3071,"mturks",FALSE
"Child's race","material_hardship",42.029,"mturks",FALSE
"Mother's prenatal smoking","material_hardship",40.1786,"mturks",FALSE
"Number of books in the home","material_hardship",39.7727,"mturks",TRUE
"Foreign-born father","material_hardship",38.2278,"mturks",FALSE
"Foreign-born mother","material_hardship",37.3434,"mturks",FALSE
"Parents have savings account","material_hardship",36.4286,"mturks",TRUE
"Parents are in cohabiting partnership","material_hardship",33.6538,"mturks",FALSE
"Child's gender","material_hardship",30.5288,"mturks",FALSE
"Child's birth weight","material_hardship",29.9539,"mturks",FALSE
